time(milli s),40mm ,100mm,210mm,300mm,400mm,500mm,600mm,705mm,800mm,905mm,950mm
35238,0.5132,0.77713,1.25122,1.60313,2.0479,2.43891,2.8348,3.26491,3.68524,4.08113,4.31574
35742,0.5132,0.77713,1.25122,1.60802,2.05279,2.44379,2.84457,3.26491,3.68035,4.08113,4.32063
36246,0.50831,0.76735,1.25611,1.60313,2.0479,2.43891,2.83969,3.26491,3.68035,4.08113,4.32551
36749,0.5132,0.76246,1.25611,1.60802,2.0479,2.43891,2.84457,3.26002,3.68035,4.08602,4.32063
37253,0.5132,0.76246,1.25122,1.6129,2.0479,2.43402,2.84457,3.26491,3.68035,4.07625,4.32551
37755,0.5132,0.76246,1.25122,1.60802,2.05279,2.43891,2.84457,3.26979,3.68035,4.08113,4.32063
38259,0.5132,0.77224,1.25122,1.60802,2.05279,2.43891,2.83969,3.26491,3.68524,4.08113,4.31574
38763,0.50831,0.76735,1.25122,1.60802,2.05279,2.43891,2.83969,3.26491,3.68035,4.07625,4.32063
39266,0.5132,0.77224,1.25611,1.60802,2.0479,2.43402,2.83969,3.26491,3.69013,4.08113,4.31574
39770,0.5132,0.77224,1.261,1.60802,2.0479,2.43402,2.83969,3.26979,3.68524,4.08602,4.32063
40273,0.50831,0.76735,1.25611,1.60802,2.05279,2.43891,2.83969,3.26979,3.68524,4.08113,4.31574
40776,0.5132,0.77224,1.25611,1.6129,2.0479,2.43891,2.84457,3.26491,3.68524,4.08113,4.32063
41280,0.5132,0.76735,1.25122,1.60802,2.0479,2.43891,2.8348,3.26979,3.68524,4.08113,4.32063
41783,0.50831,0.76246,1.25611,1.61779,2.0479,2.43402,2.83969,3.27468,3.68524,4.08113,4.32063
42287,0.51808,0.77224,1.25611,1.6129,2.0479,2.43891,2.83969,3.26979,3.68035,4.08113,4.32063
42790,0.5132,0.77224,1.25611,1.61779,2.05279,2.43891,2.83969,3.27468,3.68035,4.07625,4.32063
43293,0.51808,0.76735,1.25122,1.6129,2.0479,2.43402,2.83969,3.27468,3.68035,4.08113,4.32063
43797,0.5132,0.77713,1.261,1.61779,2.0479,2.43891,2.83969,3.26979,3.68035,4.08113,4.32063
44300,0.5132,0.76735,1.25611,1.6129,2.0479,2.43891,2.84457,3.26979,3.67546,4.07625,4.31085
44803,0.51808,0.77224,1.25122,1.6129,2.0479,2.43891,2.83969,3.26979,3.67546,4.07625,4.32063
45307,0.50831,0.77224,1.25611,1.6129,2.05279,2.43891,2.84946,3.26491,3.68035,4.07625,4.31574
45810,0.51808,0.77713,1.25122,1.61779,2.05279,2.43891,2.84457,3.27468,3.67546,4.08602,4.32063
46314,0.5132,0.76735,1.25122,1.6129,2.05279,2.43402,2.84457,3.27957,3.68035,4.08602,4.32063
46818,0.50831,0.77713,1.261,1.6129,2.05279,2.43891,2.83969,3.26979,3.68035,4.07625,4.31574
47320,0.50831,0.77224,1.25611,1.60802,2.0479,2.44379,2.83969,3.26491,3.68035,4.08113,4.31574
47824,0.51808,0.77224,1.261,1.6129,2.05767,2.43891,2.83969,3.26491,3.68524,4.08113,4.31574
48327,0.50831,0.77224,1.26588,1.6129,2.05279,2.43891,2.84457,3.26491,3.68035,4.08602,4.31574
48831,0.5132,0.77713,1.25611,1.6129,2.05767,2.43891,2.84457,3.27468,3.68035,4.08113,4.31574
49335,0.50831,0.77224,1.261,1.62268,2.05279,2.43891,2.83969,3.26491,3.68524,4.08113,4.31574
49837,0.52297,0.76735,1.26588,1.60802,2.05279,2.43402,2.84457,3.26979,3.67546,4.07625,4.32063
50341,0.51808,0.77224,1.25611,1.6129,2.05279,2.43891,2.83969,3.26979,3.67546,4.08113,4.32063
50844,0.51808,0.77713,1.261,1.6129,2.05279,2.44379,2.84946,3.26491,3.68035,4.07625,4.32063
51348,0.50831,0.76735,1.25611,1.61779,2.05279,2.43402,2.83969,3.26491,3.67546,4.08113,4.32063
51852,0.5132,0.77224,1.261,1.6129,2.05279,2.43891,2.83969,3.26491,3.68035,4.08113,4.32063
52354,0.51808,0.76735,1.261,1.6129,2.05279,2.43402,2.84946,3.26979,3.68035,4.08113,4.32063
52858,0.5132,0.77713,1.26588,1.61779,2.05767,2.43891,2.84457,3.26491,3.68035,4.08113,4.32551
53362,0.5132,0.77224,1.261,1.60802,2.05767,2.43402,2.84457,3.26491,3.68035,4.07625,4.32063
53865,0.5132,0.76735,1.26588,1.61779,2.05767,2.43891,2.83969,3.27468,3.68524,4.08113,4.32063
54369,0.51808,0.77224,1.261,1.61779,2.05767,2.43402,2.84946,3.26491,3.68035,4.08113,4.32063
54871,0.51808,0.77713,1.261,1.61779,2.05279,2.44379,2.84457,3.26979,3.67546,4.08113,4.31574
55375,0.5132,0.76735,1.26588,1.6129,2.05279,2.43891,2.84946,3.26979,3.67546,4.08113,4.31574
55879,0.5132,0.77713,1.261,1.61779,2.05279,2.44379,2.84457,3.26979,3.67546,4.08113,4.32551
56382,0.50342,0.76735,1.261,1.61779,2.05767,2.43891,2.84946,3.26979,3.68035,4.08113,4.31574
56886,0.50831,0.77224,1.26588,1.61779,2.05767,2.43891,2.84457,3.26491,3.67546,4.08113,4.32063
